ISO3_origen,ISO3_destino,anio,cantidad
ASM,COD,1960,0
ASM,COG,1960,0
ASM,COK,1960,0
ASM,CRI,1960,0
ASM,CIV,1960,0
ASM,HRV,1960,0
ASM,CUB,1960,0
ASM,CYP,1960,0
ASM,CZE,1960,0
ASM,DNK,1960,0
ASM,DJI,1960,0
ASM,DMA,1960,0
ASM,DOM,1960,4
ASM,ECU,1960,0
ASM,EGY,1960,0
ASM,SLV,1960,0
ASM,GNQ,1960,0
ASM,ERI,1960,0
ASM,EST,1960,0
ASM,ETH,1960,0
ASM,FRO,1960,0
ASM,FLK,1960,0
ASM,FJI,1960,4
ASM,FIN,1960,0
ASM,FRA,1960,1
ASM,GUF,1960,0
ASM,PYF,1960,0
ASM,GAB,1960,0
ASM,GMB,1960,0
ASM,GEO,1960,0
ASM,DEU,1960,13
ASM,GHA,1960,0
ASM,GIB,1960,0
ASM,GRC,1960,0
ASM,GRL,1960,0
ASM,GRD,1960,0
ASM,GLP,1960,1
ASM,GUM,1960,0
ASM,GTM,1960,0
ASM,GIN,1960,0
ASM,GNB,1960,0
ASM,GUY,1960,0
ASM,HTI,1960,0
ASM,HND,1960,0
ASM,HKG,1960,2
ASM,HUN,1960,0
ASM,ISL,1960,0
ASM,IND,1960,6
ASM,IDN,1960,0
ASM,IRN,1960,0
ASM,IRQ,1960,0
ASM,IRL,1960,0
ASM,IMN,1960,0
ASM,ISR,1960,0
ASM,ITA,1960,6
ASM,JAM,1960,0
ASM,JPN,1960,0
ASM,JOR,1960,0
ASM,KAZ,1960,0
ASM,KEN,1960,0
ASM,KIR,1960,2
ASM,PRK,1960,0
ASM,KOR,1960,0
ASM,XKX,1960,0
ASM,KWT,1960,0
ASM,KGZ,1960,0
ASM,LAO,1960,0
ASM,LVA,1960,0
ASM,LBN,1960,0
ASM,LSO,1960,0
ASM,LBR,1960,0
ASM,LBY,1960,0
ASM,LIE,1960,0
ASM,LTU,1960,0
ASM,LUX,1960,0
ASM,MAC,1960,0
ASM,MKD,1960,0
ASM,MDG,1960,0
ASM,MWI,1960,0
ASM,MYS,1960,0
ASM,MDV,1960,0
ASM,MLI,1960,0
ASM,MLT,1960,0
ASM,MHL,1960,0
ASM,MTQ,1960,0
ASM,MRT,1960,0
ASM,MUS,1960,0
ASM,MYT,1960,0
ASM,MEX,1960,0
ASM,FSM,1960,2
ASM,MDA,1960,0
ASM,MCO,1960,0
ASM,MNG,1960,0
ASM,MNE,1960,0
ASM,MSR,1960,0
ASM,MAR,1960,0
ASM,MOZ,1960,0
ASM,MMR,1960,0
ASM,NAM,1960,0
ASM,NRU,1960,2
ASM,NPL,1960,0
ASM,NLD,1960,0
ASM,ANT,1960,0
ASM,NCL,1960,0
ASM,NZL,1960,10
ASM,NIC,1960,0
ASM,NER,1960,0
ASM,NGA,1960,0
ASM,NIU,1960,21
ASM,NFK,1960,0
ASM,MNP,1960,0
ASM,NOR,1960,0
ASM,OMN,1960,0
ASM,PAK,1960,2
ASM,PLW,1960,0
ASM,PAN,1960,0
ASM,PNG,1960,1
ASM,PRY,1960,0
ASM,PER,1960,0
ASM,PHL,1960,0
ASM,POL,1960,0
ASM,PRT,1960,0
ASM,PRI,1960,3
ASM,QAT,1960,0
ASM,REU,1960,0
ASM,ROU,1960,0
ASM,RUS,1960,0
ASM,RWA,1960,0
ASM,SHN,1960,0
ASM,SPM,1960,0
ASM,WSM,1960,1694
ASM,SMR,1960,0
ASM,STP,1960,0
ASM,SAU,1960,0
ASM,SEN,1960,0
ASM,SRB,1960,0
ASM,SCG,1960,0
ASM,SYC,1960,0
ASM,SLE,1960,0
ASM,SGP,1960,0
ASM,SVK,1960,0
ASM,SVN,1960,0
ASM,SLB,1960,4
ASM,SOM,1960,0
ASM,ZAF,1960,0
ASM,ESP,1960,0
ASM,LKA,1960,0
ASM,KNA,1960,0
ASM,LCA,1960,0
ASM,VCT,1960,0
ASM,SDN,1960,0
ASM,SUR,1960,0
ASM,SWZ,1960,0
ASM,SWE,1960,0
ASM,CHE,1960,5
ASM,SYR,1960,0
ASM,TWN,1960,0
ASM,TJK,1960,0
ASM,TZA,1960,0
ASM,THA,1960,0
ASM,TLS,1960,0
ASM,TGO,1960,0
ASM,TKL,1960,0
ASM,TON,1960,0
ASM,TTO,1960,2
ASM,TUN,1960,0
ASM,TUR,1960,0
ASM,TKM,1960,0
ASM,TCA,1960,0
ASM,TUV,1960,1
